Date,Month,Title,Company,Location,Seniority,Employment Type,Job Functions,Industries,API Link,Original Link,Niveau Étude,Experience,Keyword
2025-12-25,December,Digital Power Fulfillment Responsible,Huawei,"Niamey, Niger",Mid-Senior level,Full-time,Information Technology and Product Management,"Telecommunications and Electric Power Transmission, Control, and Distribution",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346069951,https://ne.linkedin.com/jobs/view/digital-power-fulfillment-responsible-at-huawei-4346069951,Bac+8 / Doctorat,N/A,General Search
2025-12-25,December,Head of Power Generation & Utilities EMEA,Ericsson,"Niamey, Niamey, Niger",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4328997048,https://ne.linkedin.com/jobs/view/head-of-power-generation-utilities-emea-at-ericsson-4328997048,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Industry Ecosystem & Emerging Biz EMEA,Ericsson,"Niamey, Niamey, Niger",Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329264453,https://ne.linkedin.com/jobs/view/industry-ecosystem-emerging-biz-emea-at-ericsson-4329264453,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Technical Operator,Perfetti Van Melle,Nigeria,Entry level,Full-time,Production,Motor Vehicle Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329280751,https://ng.linkedin.com/jobs/view/technical-operator-at-perfetti-van-melle-4329280751,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-25,December,"Sun King Store Executive, Eket (Akwa Ibom State)",Sun King Tanzanzia,Nigeria,Mid-Senior level,Full-time,Management and Manufacturing,Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329096476,https://ng.linkedin.com/jobs/view/sun-king-store-executive-eket-akwa-ibom-state-at-sun-king-tanzanzia-4329096476,Bac+4,2 ans/years,General Search
2025-12-25,December,Executive Assistant - Legal Officer,Myrtle Management Consultants,"Lagos, Lagos State, Nigeria",Associate,Full-time,Legal,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346301295,https://ng.linkedin.com/jobs/view/executive-assistant-legal-officer-at-myrtle-management-consultants-4346301295,Bac+5 / Master / Ingénieur,3 ans/years,General Search
2025-12-25,December,Country Manager – Nigeria,Sigma Consulting Group,"Lagos, Lagos State, Nigeria",Not Applicable,Full-time,Sales and Business Development,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346038302,https://ng.linkedin.com/jobs/view/country-manager-%E2%80%93-nigeria-at-sigma-consulting-group-4346038302,Bac+5 / Master / Ingénieur,19 ans/years,General Search
2025-12-25,December,"Administrative Assistant, Procurement & Logistics",Corus International,Nigeria,Entry level,Full-time,Administrative,"Non-profit Organizations, International Affairs, and International Trade and Development",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4342972059,https://ng.linkedin.com/jobs/view/administrative-assistant-procurement-logistics-at-corus-international-4342972059,Bac+2 / BTS / DUT,1 ans/years,General Search
2025-12-25,December,Communication and Branding Officer,SOS Children's Villages International,"Sokoto State, Nigeria",Entry level,Full-time,"Marketing, Public Relations, and Writing/Editing",Non-profit Organizations,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346233872,https://ng.linkedin.com/jobs/view/communication-and-branding-officer-at-sos-children-s-villages-international-4346233872,Bac+8 / Doctorat,3 ans/years,General Search
2025-12-25,December,Front End Engineer,Netchex,Nigeria,Mid-Senior level,Full-time,Engineering and Information Technology,Human Resources Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329185988,https://ng.linkedin.com/jobs/view/front-end-engineer-at-netchex-4329185988,Bac+8 / Doctorat,5 ans/years,General Search
2025-12-25,December,Graduate Trainee Assistant,Choice Talents LTD,"Lagos, Lagos State, Nigeria",Internship,Full-time,Administrative,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346143105,https://ng.linkedin.com/jobs/view/graduate-trainee-assistant-at-choice-talents-ltd-4346143105,Bac+2 / BTS / DUT,N/A,General Search
2025-12-25,December,Chief Technical Officer (CTO),CareerBuddy,"Lagos, Lagos State, Nigeria",Executive,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346146588,https://ng.linkedin.com/jobs/view/chief-technical-officer-cto-at-careerbuddy-4346146588,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,Head of Enterprise EMEA,Ericsson,Nigeria,Not Applicable,Full-time,Other,Telecommunications,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329146761,https://ng.linkedin.com/jobs/view/head-of-enterprise-emea-at-ericsson-4329146761,Bac+5 / Master / Ingénieur,10 ans/years,General Search
2025-12-25,December,"Readvertisement: Supply Specialist, NOC, FT, Abuja, Nigeria #20094",UNICEF MK,Nigeria,Entry level,Full-time,Management and Manufacturing,Non-profit Organizations,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329167148,https://ng.linkedin.com/jobs/view/readvertisement-supply-specialist-noc-ft-abuja-nigeria-%2320094-at-unicef-mk-4329167148,Bac+5 / Master / Ingénieur,N/A,General Search
2025-12-25,December,NYSC Intern,Choice Talents LTD,"Lagos, Lagos State, Nigeria",Internship,Internship,Education and Training,Business Consulting and Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4346049484,https://ng.linkedin.com/jobs/view/nysc-intern-at-choice-talents-ltd-4346049484,N/A,N/A,General Search
2025-12-25,December,"Readvertisement: Child Protection Specialist, NO3, FT, Abuja, Nigeria #18294",UNICEF Bangladesh,Nigeria,Entry level,Full-time,"Other, Information Technology, and Management",Non-profit Organizations,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/4329136504,https://ng.linkedin.com/jobs/view/readvertisement-child-protection-specialist-no3-ft-abuja-nigeria-%2318294-at-unicef-bangladesh-4329136504,Bac+5 / Master / Ingénieur,5 ans/years,General Search
